key,cz,en,ch
AW3_ENABLE_FRAME_PRIORITY_SCHEDULER Description,将一次原版大步长逻辑 tick 分摊到多个渲染帧；人物移动与寻路保持原版倍速语义,Spread one native large-step logic tick across render frames while preserving movement and pathfinding speed semantics,將一次原版大步長邏輯 tick 分攤到多個渲染幀；人物移動與尋路保持原版倍速語義
aw_frame_scheduler_confirm_title,启用帧优先调度,Enable frame-priority scheduling,啟用幀優先調度
aw_frame_scheduler_confirm_prompt,此功能属于实验性调度。输入小写 yes 才能启用。,This scheduler is experimental. Type lowercase yes to enable it.,此功能屬於實驗性調度。輸入小寫 yes 才能啟用。
aw_frame_scheduler_confirm_placeholder,输入 yes,Type yes,輸入 yes
aw_frame_scheduler_confirm_error,必须准确输入小写 yes,Enter exactly lowercase yes,必須準確輸入小寫 yes
AW3_ENABLE_PERFORMANCE_DIAGNOSTICS,启用性能诊断 开启视为加入春秋制作组,Enable performance diagnostics,啟用效能診斷
AW3_ENABLE_PERFORMANCE_DIAGNOSTICS Description,输出 AW3 性能统计；仅用于排查性能问题,Output AW3 performance statistics; use only for performance investigation,輸出 AW3 效能統計；僅用於排查效能問題
AW3_ENABLE_PRESENTATION_SMOOTHING,启用单位表现平滑,Enable unit presentation smoothing,啟用單位表現平滑
AW3_ENABLE_PRESENTATION_SMOOTHING Description,预测并平滑可见单位的渲染位置；不改变权威逻辑位置,Predict and smooth visible unit rendering without changing authoritative positions,預測並平滑可見單位的渲染位置；不改變權威邏輯位置
AW3_ENABLE_SCHEDULER_DIAGNOSTICS,启用调度诊断 开启视为加入春秋制作组,Enable scheduler diagnostics,啟用調度診斷
AW3_ENABLE_SCHEDULER_DIAGNOSTICS Description,在 AW3 性能日志中输出帧预算阶段速度与 tick 进度,Include frame budget phase speed and tick progress in AW3 performance logs,在 AW3 效能日誌中輸出幀預算階段速度與 tick 進度
AW3_MAX_SIMULATION_MS_PER_FRAME,每帧最大模拟时间,Maximum simulation milliseconds per frame,每幀最大模擬時間
AW3_MAX_SIMULATION_MS_PER_FRAME Description,提高数值可加快模拟；但会降低保留给渲染的时间,Higher values accelerate simulation but reserve less time for rendering,提高數值可加快模擬；但會降低保留給渲染的時間
AW3_SHOW_ARMY_MAP_INFORMATION,地图显示军队信息,Show army map information,地圖顯示軍隊資訊
AW3_SHOW_ARMY_MAP_INFORMATION Description,在当前选中国家的军旗旁显示军名人数统帅和 RTS 任务；需要启用 AW3 RTS 军队,Show each selected kingdom army name size captain and RTS task beside its banner; requires AW3 Army RTS,在目前選中國家的軍旗旁顯示軍名人數統帥和 RTS 任務；需要啟用 AW3 RTS 軍隊
AW3_SHOW_ARMY_RTS_VISUALS,显示 RTS 军队进攻路线,Show RTS army routes,顯示 RTS 軍隊進攻路線
AW3_SHOW_ARMY_RTS_VISUALS Description,立即显示当前选中国家的军队目标路线；需要启用 AW3 RTS 军队,Show target routes for the selected kingdom armies; requires AW3 Army RTS,立即顯示目前選中國家的軍隊目標路線；需要啟用 AW3 RTS 軍隊
AW3_TARGET_RENDER_FPS,目标渲染帧率,Target render FPS,目標渲染幀率
AW3_TARGET_RENDER_FPS Description,目标越高；每帧可用于世界模拟的时间越少,Higher targets leave less frame time for world simulation,目標越高；每幀可用於世界模擬的時間越少
AW3_USE_AW3_ARMY_RTS_SCHEDULER,由 AW3 调度 RTS 军队,Schedule RTS armies through AW3,由 AW3 調度 RTS 軍隊
AW3_USE_AW3_ARMY_RTS_SCHEDULER Description,关闭时跟随原版 ArmyManager.update；开启时改由 AW3 权威循环调度；重启游戏后生效,Off follows native ArmyManager.update; on uses the AW3 authority cycle; takes effect after restart,關閉時跟隨原版 ArmyManager.update；開啟時改由 AW3 權威循環調度；重新啟動遊戲後生效
AWPerformanceSettings,AW3 性能设置,AW3 Performance,AW3 效能設定
AWMapModeSettings,AW3 地图模式设置,AW3 Map Modes,AW3 地圖模式設定
AW3_USE_BUNDLED_HIERARCHICAL_VASSAL_MAP_FONT,层级附庸地图字体,Hierarchical vassal map font,層級附庸地圖字體
AW3_USE_BUNDLED_HIERARCHICAL_VASSAL_MAP_FONT Description,点击下拉栏选择 AW3 魏碑或 Unity 可用的系统字体,Select AW3 Beiwei or any Unity-exposed system font from the dropdown,點擊下拉選單選擇 AW3 魏碑或 Unity 可用的系統字體
aw_settings_experimental_warning,实验性功能 可能会卡死游戏 介意别开,Experimental; may freeze the game. Avoid if concerned.,實驗性功能 可能會卡死遊戲 介意別開
AW3_ENABLE_SYNTHETIC_MOBILIZATION,启用合成兵动员,Enable synthetic mobilization,啟用合成兵動員
AW3_ENABLE_SYNTHETIC_MOBILIZATION Description,正式战争中生成 AW3 抽象后备兵；关闭后由原版负责普通征召，并停用合成兵后备账本,Create AW3 abstract reserve soldiers during formal wars; off leaves ordinary recruitment to vanilla and does not use the synthetic reserve ledger,正式戰爭中生成 AW3 抽象後備兵；關閉後由原版負責普通徵召，並停用合成兵後備帳本
