key,cz,en,ch
aw_war_peace_resource_ale,麦酒,Ale,麥酒
aw_war_peace_resource_burger,肉饼,Burger,肉餅
aw_war_peace_resource_pie,馅饼,Pie,餡餅
aw_war_peace_resource_tea,茶,Tea,茶
aw_war_peace_resource_berries,浆果,Berries,漿果
aw_war_peace_resource_bananas,香蕉,Bananas,香蕉
aw_war_peace_resource_coconut,椰子,Coconut,椰子
aw_war_peace_resource_crystal_salt,晶盐,Crystal Salt,晶鹽
aw_war_peace_resource_desert_berries,沙漠浆果,Desert Berries,沙漠漿果
aw_war_peace_resource_evil_beets,邪恶甜菜,Evil Beets,邪惡甜菜
aw_war_peace_resource_mushrooms,蘑菇,Mushrooms,蘑菇
aw_war_peace_resource_peppers,辣椒,Peppers,辣椒
aw_war_peace_resource_herbs,草药,Herbs,草藥
aw_war_peace_resource_fish,鱼,Fish,魚
aw_war_peace_resource_candy,糖果,Candy,糖果
aw_war_peace_resource_worms,虫子,Worms,蟲子
aw_war_peace_resource_snow_cucumbers,雪黄瓜,Snow Cucumbers,雪黃瓜
aw_war_peace_resource_celestial_avocado,天界牛油果,Celestial Avocado,天界牛油果
aw_war_peace_resource_pine_cones,松果,Pine Cones,松果
aw_war_peace_resource_lemons,柠檬,Lemons,檸檬
aw_war_peace_resource_meat,肉类,Meat,肉類
aw_war_peace_resource_honey,蜂蜜,Honey,蜂蜜
aw_war_peace_submit,发送条约,Send offer,發送條約
aw_war_peace_term_whitepeace,无条件和平,White peace,無條件和平
aw_war_peace_term_whitepeace_desc,双方停战且不执行额外要求,End the war without additional demands,雙方停戰且不執行額外要求
aw_war_peace_term_goldpayment,支付黄金,Gold payment,支付黃金
aw_war_peace_term_goldpayment_desc,一次性向受益国支付黄金,Make a one-time gold payment,一次性向受益國支付黃金
aw_war_peace_term_materialpayment,移交物资,Material payment,移交物資
aw_war_peace_term_materialpayment_desc,一次性向受益国移交指定物资,Transfer the specified supplies once,一次性向受益國移交指定物資
aw_war_peace_term_reparations,战争赔款,War reparations,戰爭賠款
aw_war_peace_term_reparations_desc,按年向胜方支付持续赔款,Pay annual reparations to the victor,按年向勝方支付持續賠款
aw_war_peace_term_releasecaptives,释放俘虏,Release captives,釋放俘虜
aw_war_peace_term_releasecaptives_desc,释放条款指定的在押人员,Release the captive named by this term,釋放條款指定的在押人員
aw_war_peace_term_renounceclaims,放弃宣称,Renounce claims,放棄宣稱
aw_war_peace_term_renounceclaims_desc,撤销对对方领土的有效宣称,Renounce an active claim on the other realm,撤銷對對方領土的有效宣稱
aw_war_peace_term_forcetributary,强制朝贡,Force tributary,強制朝貢
aw_war_peace_term_forcetributary_desc,败方成为胜方的朝贡国,Make the defeated realm a tributary,敗方成為勝方的朝貢國
aw_war_peace_term_cedecity,割让城市,Cede city,割讓城市
aw_war_peace_term_cedecity_desc,割让已被控制或具有法理依据的城市,Cede an occupied city or one backed by a valid claim,割讓已被控制或具有法理依據的城市
aw_war_peace_term_forcevassal,强制附庸,Force vassalage,強制附庸
aw_war_peace_term_forcevassal_desc,败方成为胜方的正式附庸,Make the defeated realm a formal vassal,敗方成為勝方的正式附庸
